PERIOD	FULL_CHARGE_CAPACITY	DESIGN_CAPACITY
2021-10-31 - 2021-11-07	90,072 mWh 	90,005 mWh
2021-11-07 - 2021-11-14	89,363 mWh 	90,005 mWh
2021-11-14 - 2021-11-21	89,624 mWh 	90,005 mWh
2021-11-21 - 2021-11-28	89,566 mWh 	90,005 mWh
2021-11-28 - 2021-12-05	90,174 mWh 	90,005 mWh
2021-12-05 - 2021-12-12	89,304 mWh 	90,005 mWh
2021-12-12 - 2021-12-19	87,054 mWh 	90,005 mWh
2021-12-19 - 2021-12-26	87,615 mWh 	90,005 mWh
2021-12-26 - 2022-01-02	86,532 mWh 	90,005 mWh
2022-01-02 - 2022-01-09	85,873 mWh 	90,005 mWh
2022-01-09 - 2022-01-16	83,561 mWh 	90,005 mWh
2022-01-16 - 2022-01-23	82,232 mWh 	90,005 mWh
2022-01-23 - 2022-01-30	82,961 mWh 	90,005 mWh
2022-01-30 - 2022-02-06	83,312 mWh 	90,005 mWh
2022-02-06 - 2022-02-13	83,825 mWh 	90,005 mWh
2022-02-13 - 2022-02-20	81,192 mWh 	90,005 mWh
2022-02-20 - 2022-02-27	82,648 mWh 	90,005 mWh
2022-02-27 - 2022-03-06	82,785 mWh 	90,005 mWh
2022-03-06 - 2022-03-13	83,764 mWh 	90,005 mWh
2022-03-13 - 2022-03-20	83,966 mWh 	90,005 mWh
2022-03-20 - 2022-03-27	84,715 mWh 	90,005 mWh
2022-03-27 - 2022-04-03	80,553 mWh 	90,005 mWh
2022-04-03 - 2022-04-10	79,409 mWh 	90,005 mWh
2022-04-10 - 2022-04-17	79,575 mWh 	90,005 mWh
2022-04-17 - 2022-04-24	81,024 mWh 	90,005 mWh
2022-04-24 - 2022-05-02	79,277 mWh 	90,005 mWh
2022-05-02 - 2022-05-10	79,193 mWh 	90,005 mWh
2022-05-10 - 2022-05-16	79,812 mWh 	90,005 mWh
2022-05-16 - 2022-05-23	78,466 mWh 	90,005 mWh
2022-05-23 - 2022-05-30	77,645 mWh 	90,005 mWh
2022-05-30 - 2022-06-07	78,423 mWh 	90,005 mWh
2022-06-07 - 2022-06-12	79,076 mWh 	90,005 mWh
2022-06-12 - 2022-06-19	78,744 mWh 	90,005 mWh
2022-06-19 - 2022-06-27	78,914 mWh 	90,005 mWh
2022-06-27 - 2022-07-04	79,994 mWh 	90,005 mWh
2022-07-04 - 2022-07-11	78,100 mWh 	90,005 mWh
2022-07-11 - 2022-07-18	76,383 mWh 	90,005 mWh
2022-07-18 - 2022-07-25	76,187 mWh 	90,005 mWh
2022-07-25 - 2022-07-31	77,095 mWh 	90,005 mWh
2022-07-31 - 2022-08-08	77,434 mWh 	90,005 mWh
2022-08-08 - 2022-08-15	76,695 mWh 	90,005 mWh
2022-08-15 - 2022-08-21	73,585 mWh 	90,005 mWh
2022-08-21 - 2022-08-28	74,157 mWh 	90,005 mWh
2022-08-28 - 2022-09-04	74,741 mWh 	90,005 mWh
